case_id,maze_file,ok,finished,resource,steps,score_ratio,duration_sec,timeout,error
train_0001,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0001.json,True,True,200,76,2.6315789473684212,0.553897,False,
train_0002,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0002.json,True,True,280,136,2.0588235294117645,0.777378,False,
train_0003,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0003.json,True,True,270,136,1.9852941176470589,0.790763,False,
train_0004,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0004.json,True,True,280,186,1.5053763440860215,1.025656,False,
train_0005,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0005.json,True,True,210,120,1.75,0.489721,False,
train_0006,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0006.json,True,True,230,196,1.1734693877551021,1.078032,False,
train_0007,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0007.json,True,True,180,114,1.5789473684210527,0.956334,False,
train_0008,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0008.json,True,True,200,74,2.7027027027027026,0.590392,False,
train_0009,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0009.json,True,True,280,218,1.2844036697247707,1.091909,False,
train_0010,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0010.json,True,True,260,178,1.4606741573033708,0.910118,False,
train_0011,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0011.json,True,True,230,120,1.9166666666666667,0.920071,False,
train_0012,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0012.json,True,True,240,144,1.6666666666666667,1.392194,False,
train_0013,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0013.json,True,True,280,218,1.2844036697247707,1.39198,False,
train_0014,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0014.json,True,True,220,118,1.8644067796610169,0.942763,False,
train_0015,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0015.json,True,True,270,132,2.0454545454545454,0.810385,False,
train_0016,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0016.json,True,True,140,132,1.0606060606060606,0.992834,False,
train_0017,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0017.json,True,True,310,180,1.7222222222222223,0.918991,False,
train_0018,C:\Users\tao20\Desktop\Algorithm\AIPlayerDesktop\data\蔡扬的\train\train_0018.json,True,True,210,106,1.9811320754716981,0.49635,False,
