file,resource,steps,ratio
train_0001,200,76,2.63158
train_0002,280,136,2.05882
train_0003,270,136,1.98529
train_0004,280,186,1.50538
train_0005,210,120,1.75
train_0006,230,196,1.17347
train_0007,180,114,1.57895
train_0008,150,58,2.58621
train_0009,280,218,1.2844
train_0010,260,178,1.46067
train_0011,230,120,1.91667
train_0012,240,144,1.66667
train_0013,280,218,1.2844
train_0014,220,118,1.86441
train_0015,270,132,2.04545
train_0016,140,132,1.06061
train_0017,310,180,1.72222
train_0018,210,106,1.98113
train_0019,140,112,1.25
train_0020,320,110,2.90909
train_0021,280,200,1.4
train_0022,170,88,1.93182
train_0023,200,94,2.12766
train_0024,290,186,1.55914
train_0025,290,162,1.79012
train_0026,290,106,2.73585
train_0027,310,190,1.63158
train_0028,280,162,1.7284
train_0029,170,132,1.28788
train_0030,190,104,1.82692
train_0031,340,128,2.65625
train_0032,150,92,1.63043
train_0033,250,108,2.31481
train_0034,220,78,2.82051
train_0035,210,174,1.2069
train_0036,240,156,1.53846
train_0037,280,240,1.16667
train_0038,210,138,1.52174
train_0039,210,100,2.1
train_0040,280,200,1.4
train_0041,280,144,1.94444
train_0042,250,102,2.45098
train_0043,200,64,3.125
train_0044,310,164,1.89024
train_0045,280,168,1.66667
train_0046,340,134,2.53731
train_0047,220,80,2.75
train_0048,230,106,2.16981
train_0049,270,140,1.92857
train_0050,190,94,2.02128
train_0051,300,124,2.41935
train_0052,260,184,1.41304
train_0053,230,120,1.91667
train_0054,280,116,2.41379
train_0055,210,160,1.3125
train_0056,280,172,1.62791
train_0057,170,70,2.42857
train_0058,310,174,1.78161
train_0059,280,206,1.35922
train_0060,280,188,1.48936
train_0061,270,112,2.41071
train_0062,350,98,3.57143
train_0063,140,134,1.04478
train_0064,250,84,2.97619
train_0065,300,104,2.88462
train_0066,280,206,1.35922
train_0067,280,214,1.30841
train_0068,280,140,2
train_0069,290,158,1.83544
train_0070,120,66,1.81818
train_0071,260,132,1.9697
train_0072,300,126,2.38095
train_0073,160,178,0.898876
train_0074,280,176,1.59091
train_0075,230,158,1.4557
train_0076,20,900,0.0222222
train_0077,240,188,1.2766
train_0078,150,48,3.125
train_0079,230,94,2.44681
train_0080,310,152,2.03947
train_0081,280,202,1.38614
train_0082,250,82,3.04878
train_0083,280,172,1.62791
train_0084,70,68,1.02941
train_0085,200,78,2.5641
train_0086,280,170,1.64706
train_0087,160,112,1.42857
train_0088,250,78,3.20513
train_0089,290,168,1.72619
train_0090,270,104,2.59615
train_0091,170,110,1.54545
train_0092,250,56,4.46429
train_0093,210,146,1.43836
train_0094,310,180,1.72222
train_0095,250,86,2.90698
train_0096,300,118,2.54237
train_0097,300,76,3.94737
train_0098,120,64,1.875
train_0099,200,66,3.0303
train_0100,240,162,1.48148
train_0101,270,96,2.8125
train_0102,170,112,1.51786
train_0103,280,186,1.50538
train_0104,190,142,1.33803
train_0105,310,160,1.9375
train_0106,310,192,1.61458
train_0107,340,162,2.09877
train_0108,280,184,1.52174
train_0109,100,88,1.13636
train_0110,250,66,3.78788
train_0111,310,178,1.74157
train_0112,350,130,2.69231
train_0113,240,120,2
train_0114,280,188,1.48936
train_0115,150,32,4.6875
train_0116,280,208,1.34615
train_0117,200,94,2.12766
train_0118,290,202,1.43564
train_0119,280,206,1.35922
train_0120,280,164,1.70732
train_0121,290,136,2.13235
train_0122,110,116,0.948276
train_0123,370,130,2.84615
train_0124,190,74,2.56757
train_0125,280,198,1.41414
train_0126,320,94,3.40426
train_0127,320,132,2.42424
train_0128,320,106,3.01887
train_0129,200,90,2.22222
train_0130,280,186,1.50538
train_0131,280,172,1.62791
train_0132,320,156,2.05128
train_0133,290,168,1.72619
train_0134,280,166,1.68675
train_0135,300,98,3.06122
train_0136,210,142,1.47887
train_0137,210,80,2.625
train_0138,310,122,2.54098
train_0139,260,178,1.46067
train_0140,300,112,2.67857
train_0141,150,46,3.26087
train_0142,90,54,1.66667
train_0143,90,102,0.882353
train_0144,150,84,1.78571
train_0145,170,96,1.77083
train_0146,240,132,1.81818
train_0147,280,192,1.45833
train_0148,310,202,1.53465
train_0149,100,32,3.125
train_0150,230,152,1.51316
train_0151,290,116,2.5
train_0152,190,170,1.11765
train_0153,370,104,3.55769
train_0154,200,70,2.85714
train_0155,280,204,1.37255
train_0156,220,68,3.23529
train_0157,240,86,2.7907
train_0158,100,72,1.38889
train_0159,280,202,1.38614
train_0160,280,198,1.41414
train_0161,280,224,1.25
train_0162,120,102,1.17647
train_0163,210,168,1.25
train_0164,220,150,1.46667
train_0165,210,178,1.17978
train_0166,170,92,1.84783
train_0167,290,186,1.55914
train_0168,290,134,2.16418
train_0169,250,120,2.08333
train_0170,230,120,1.91667
train_0171,280,200,1.4
train_0172,220,110,2
train_0173,150,76,1.97368
train_0174,150,98,1.53061
train_0175,200,60,3.33333
train_0176,350,114,3.07018
train_0177,240,146,1.64384
train_0178,180,118,1.52542
train_0179,120,92,1.30435
train_0180,190,120,1.58333
train_0181,50,80,0.625
train_0182,280,214,1.30841
train_0183,230,98,2.34694
train_0184,210,102,2.05882
train_0185,50,26,1.92308
train_0186,280,218,1.2844
train_0187,240,106,2.26415
train_0188,270,96,2.8125
train_0189,310,178,1.74157
train_0190,320,172,1.86047
train_0191,190,80,2.375
train_0192,280,174,1.6092
train_0193,310,188,1.64894
train_0194,210,170,1.23529
train_0195,250,80,3.125
train_0196,100,60,1.66667
train_0197,310,198,1.56566
train_0198,170,56,3.03571
train_0199,310,176,1.76136
train_0200,270,136,1.98529
